,date,open,high,low,Close
13457,1621298100000.0,0.65115,0.65187,0.64601,0.64702
13458,1621298400000.0,0.64695,0.65121,0.64656,0.64962
13459,1621298700000.0,0.64937,0.65239,0.64637,0.6476
13460,1621299000000.0,0.64785,0.65,0.64504,0.64746
13461,1621299300000.0,0.64756,0.64845,0.64538,0.64761
13462,1621299600000.0,0.64779,0.65114,0.64766,0.65112
13463,1621299900000.0,0.65113,0.65292,0.64924,0.6523
13464,1621300200000.0,0.6523,0.65549,0.65134,0.65379
13465,1621300500000.0,0.65378,0.65392,0.64916,0.65081
13466,1621300800000.0,0.65079,0.6531,0.6497,0.65263
13467,1621301100000.0,0.65256,0.6577,0.65256,0.65723
13468,1621301400000.0,0.65708,0.65764,0.65205,0.6533
13469,1621301700000.0,0.65319,0.65516,0.65175,0.65263
13470,1621302000000.0,0.65278,0.65469,0.65257,0.654
13471,1621302300000.0,0.6539,0.65838,0.653,0.65537
13472,1621302600000.0,0.65549,0.65625,0.65287,0.65475
13473,1621302900000.0,0.65468,0.65498,0.6533,0.65471
13474,1621303200000.0,0.65481,0.65558,0.64931,0.65007
13475,1621303500000.0,0.65027,0.65035,0.64769,0.64842
13476,1621303800000.0,0.64839,0.64914,0.64489,0.64489
13477,1621304100000.0,0.64505,0.64742,0.64293,0.64474
13478,1621304400000.0,0.64487,0.64748,0.64448,0.64701
13479,1621304700000.0,0.6469,0.6483,0.64645,0.64805
13480,1621305000000.0,0.64805,0.65208,0.64749,0.65147
13481,1621305300000.0,0.65159,0.65299,0.6501,0.65025
13482,1621305600000.0,0.65025,0.65219,0.64907,0.65192
13483,1621305900000.0,0.65205,0.65636,0.6513,0.65618
13484,1621306200000.0,0.65628,0.65628,0.65289,0.65355
13485,1621306500000.0,0.6536,0.65701,0.6532,0.65679
13486,1621306800000.0,0.65678,0.65816,0.65486,0.65546
13487,1621307100000.0,0.65559,0.65559,0.65247,0.65264
13488,1621307400000.0,0.6526,0.65304,0.65102,0.65199
13489,1621307700000.0,0.65199,0.65394,0.65061,0.65222
13490,1621308000000.0,0.6523,0.65499,0.65222,0.65309
13491,1621308300000.0,0.65312,0.65375,0.65107,0.65281
13492,1621308600000.0,0.65265,0.65464,0.65138,0.6544
13493,1621308900000.0,0.65426,0.65588,0.65196,0.65295
13494,1621309200000.0,0.65269,0.65324,0.65068,0.65181
13495,1621309500000.0,0.65177,0.65476,0.65155,0.65396
13496,1621309800000.0,0.65388,0.655,0.65232,0.65248
13497,1621310100000.0,0.65241,0.65516,0.65233,0.65467
13498,1621310400000.0,0.6544,0.66,0.65425,0.65989
13499,1621310700000.0,0.65998,0.66393,0.65957,0.66259
13500,1621311000000.0,0.66256,0.6645,0.66206,0.66344
13501,1621311300000.0,0.66316,0.66449,0.661,0.66215
13502,1621311600000.0,0.66202,0.66299,0.66132,0.66177
13503,1621311900000.0,0.6617,0.66275,0.661,0.66223
